epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk,y_1,y_hat_1,loss_test-1,test-1_acc,test-1_qwk,y_2,y_hat_2,loss_test-2,test-2_acc,test-2_qwk
0,,,,,,,,0.9445571601390839,49.27536392211914,0.2517305029995387,,,0.3941557705402374,51.85185241699219,-0.07608695652173902,,,0.24011369049549103,74.0740737915039,0.11764705882352933
1,0.34602048993110657,0.144,0.8503109663724899,43.93939208984375,0.2480620155038762,"[3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 3, 3, 2, 3, 3, 4, 3, 2, 4, 3, 3, 5, 2, 0, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 3, 4, 5, 4, 3, 4, 5, 4, 5, 3, 4, 4, 4, 4, 3, 3, 3, 3, 5, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 3, 4, 3, 2, 4, 2, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 5, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 3, 4, 3, 3, 3, 2, 4, 3, 4, 3, 3, 5, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 5, 4, 2, 3, 4, 5, 3, 4, 3, 3, 3]","[3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 5, 3, 4, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 5, 4, 4, 4]",0.9149603247642517,60.144927978515625,0.45157916753817195,"[4, 3, 2, 4, 5, 4, 5, 2, 3, 4, 4, 3, 4, 5, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3]","[4, 4, 3, 5, 4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3]",0.31728771328926086,48.14814758300781,0.10891089108910901,"[4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 5, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3]","[4, 5, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4]",0.21405552327632904,81.48148345947266,0.3999999999999999
2,0.3215874135494232,0.01,0.8337395638227463,60.60606002807617,0.4986737400530503,"[3, 3, 4, 2, 5, 4, 4, 3, 4, 2, 5, 4, 3, 4, 0, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 2, 5, 4, 3, 4, 4, 3, 5, 4, 4, 3, 4, 3, 4, 4, 4, 3, 2, 4, 3, 3, 3, 2, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 5, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 5, 4, 3, 4, 3, 3, 3, 4, 4, 3, 2, 3, 4, 4, 4, 3, 3, 3, 2, 5, 4, 3, 5, 4, 3, 4, 4, 3, 3, 4, 3, 2, 4, 4, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 3, 3, 5, 4, 2]","[3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3]",0.711449921131134,67.39130401611328,0.5253071253071253,"[4, 4, 4, 4, 4, 4, 2, 4, 4, 5, 4, 4, 4, 4, 3, 2, 4, 3, 5, 3, 3, 3, 4, 4, 5, 3, 3]","[3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3]",0.34136345982551575,51.85185241699219,0.3474320241691843,"[4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 5, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4]","[3, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3]",0.23024019598960876,66.66666412353516,0.2894736842105263
3,0.1454373151063919,0.028,1.1002933382987976,59.84848403930664,0.46684350132625996,,,0.7380004376173019,75.36231994628906,0.6592191909689558,,,0.31473320722579956,51.85185241699219,0.3999999999999999,,,0.1909777820110321,74.0740737915039,0.46153846153846156
4,0.32390865683555603,0.004,1.1658833026885986,60.60606002807617,0.5858876774326272,"[3, 3, 4, 3, 4, 5, 3, 4, 5, 4, 3, 3, 3, 4, 3, 4, 2, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 5, 2, 3, 3, 4, 3, 2, 4, 4, 3, 5, 4, 3, 5, 5, 3, 4, 4, 3, 4, 4, 5, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 2, 4, 4, 3, 3, 4, 4, 4, 0, 3, 4, 4, 4, 4, 3, 3, 4, 3, 3, 5, 3, 4, 4, 4, 3, 4, 4, 2, 4, 5, 2, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 2, 3, 4, 3, 3, 3, 4, 5, 4, 3, 3, 4, 3, 4, 2, 2, 2, 4, 4]","[3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 2, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 2, 2, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 2, 3, 4, 4, 3, 3, 3, 4, 3, 2, 4, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 2, 3, 3, 3, 4, 2, 4, 4, 3, 2, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 2, 2, 2, 4, 4]",0.6212010979652405,73.18840789794922,0.6580631839768738,"[3, 3, 2, 5, 4, 4, 5, 3, 3, 4, 4, 4, 5, 2, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4]","[3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4]",0.3178774416446686,59.25925827026367,0.5107084019769357,"[4, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4]","[4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4]",0.2068176567554474,70.37036895751953,0.22047244094488183
5,0.3017962872982025,0.008,1.0660535991191864,59.09090805053711,0.522836814321781,,,0.5732162520289421,75.36231994628906,0.691636518408172,,,0.2965274453163147,55.55555725097656,0.280639431616341,,,0.17268766462802887,77.77777862548828,0.2429906542056075
6,0.2708815038204193,0.004,0.7703010588884354,59.84848403930664,0.5213122070966302,,,0.596514955163002,73.18840789794922,0.6306868867082962,,,0.31087374687194824,59.25925827026367,0.4923076923076922,,,0.1801498383283615,81.48148345947266,0.6153846153846154
7,0.11696172505617142,0.008,0.8964885473251343,59.84848403930664,0.5487060803702924,,,0.6802500933408737,73.91304016113281,0.703109720320751,,,0.3373332917690277,55.55555725097656,0.38729198184568847,,,0.22079618275165558,62.96296310424805,0.193103448275862
8,0.22365804016590118,0.012,0.8481185883283615,61.3636360168457,0.5674867785697862,,,0.6584396809339523,73.91304016113281,0.690772051334284,,,0.31759390234947205,59.25925827026367,0.4724689165186501,,,0.1754325032234192,74.0740737915039,0.4112149532710281
