epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk,y_1,y_hat_1,loss_test-1,test-1_acc,test-1_qwk,y_2,y_hat_2,loss_test-2,test-2_acc,test-2_qwk,y_3_syntax,y_3_mistake,y_hat_3,loss_test-3,test-3_acc_syntax,test-3_acc_mistakes,test-3_qwk_syntax,test-3_qwk_mistakes,y_4_syntax,y_4_mistake,y_hat_4,loss_test-4,test-4_acc_syntax,test-4_acc_mistakes,test-4_qwk_syntax,test-4_qwk_mistakes
0,,,,,,,,0.8927819430828094,72.4637680053711,0.6213314244810307,,,0.3344322144985199,55.55555725097656,0.4355400696864111,,,0.22128601372241974,77.77777862548828,0.5178571428571428,,,,0,55.55555555555556,66.66666666666666,0.45344129554655876,0.3816793893129772,,,,,,,,
1,0.32901060581207275,0.436,0.9071785509586334,53.030303955078125,0.48886059834500317,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 2, 4, 3, 4, 3, 2, 3, 3, 3, 3, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3]",0.7507045716047287,70.28985595703125,0.5808411214953271,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3]",0.2993999421596527,55.55555725097656,0.5178571428571428,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3]",0.2421807199716568,70.37036895751953,0.5199999999999999,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,48.148148148148145,62.96296296296296,0.5714285714285714,0.43295638126009683,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,29.629629629629626,74.07407407407408,0.40718562874251507,0.4821917808219178
2,0.18184848129749298,0.432,0.9039740562438965,56.06060791015625,0.49966055668703335,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 2, 4, 3, 4, 4, 2, 4, 3, 3, 4, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4]",0.7401961833238602,68.1159439086914,0.5716120745022479,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 2, 4, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.2914653718471527,59.25925827026367,0.42727272727272725,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 2, 4, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.2097683697938919,77.77777862548828,0.6086956521739131,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,48.148148148148145,62.96296296296296,0.47781569965870296,0.43295638126009683,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,22.22222222222222,74.07407407407408,0.30292598967297757,0.4821917808219178
3,0.24789313971996307,0.354,0.9350844323635101,52.272727966308594,0.5535452322738387,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[3, 4, 3, 5, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 3, 5, 3, 5, 3, 4, 4, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 3, 4, 5, 4, 3, 5, 3, 4, 3, 3, 4, 3, 5, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 3, 3, 3, 5, 3, 4, 3, 4, 3, 2, 4, 3, 5, 4, 2, 3, 3, 3, 3, 5, 2, 5, 3, 4, 4, 3, 3, 4, 3, 4, 5, 4, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3]",0.6886385530233383,68.840576171875,0.6453050034270049,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 3, 5, 4, 3]",0.29791298508644104,59.25925827026367,0.6024096385542168,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 3, 5, 4, 3]",0.2554928958415985,59.25925827026367,0.42105263157894735,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]",0,40.74074074074074,62.96296296296296,0.3697478991596638,0.2577319587628867,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]",0,29.629629629629626,62.96296296296296,0.40718562874251507,0.09999999999999998
4,0.2499367743730545,0.374,0.8948244154453278,62.878787994384766,0.6084419373662711,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 4, 4, 4, 4, 5, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 4, 3, 5, 3, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 5, 3, 3, 3, 4, 3, 4, 3, 4, 3, 2, 4, 3, 4, 4, 2, 4, 3, 3, 3, 4, 2, 5, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3]",0.6490610986948013,78.26087188720703,0.6861691130866239,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3]",0.2810525894165039,55.55555725097656,0.4563758389261745,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3]",0.21582721173763275,70.37036895751953,0.4098360655737706,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,44.44444444444444,59.25925925925925,0.4457478005865103,0.0,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0,25.925925925925924,74.07407407407408,0.3262955854126679,0.0
5,0.1923299878835678,0.356,1.0611688196659088,58.33333206176758,0.4767441860465117,,,0.7191794514656067,71.73912811279297,0.6293169608595548,,,0.28728312253952026,59.25925827026367,0.5263157894736841,,,0.18980708718299866,74.0740737915039,0.4878048780487805,,,,0,48.148148148148145,59.25925925925925,0.49169435215946844,0.15157116451016628,,,,0,22.22222222222222,66.66666666666666,0.29071803852889666,0.07604562737642584
